nation,panoID,options,answer-type
Denmark,LBlM29BN8UEcoV5YJ8dKxg,"['Germany', 'Sweden', 'Norway']",country
Russia,2GbhFHHfhA5C7kcQAwxSbA,"['Kazakhstan', 'Mongolia', 'China']",country
Uruguay,oRWbjJHfeh_w6E85TnbHYQ,"['Argentina', 'Brazil', 'Paraguay']",country
Lesotho,s1qUVysXiibl9VshzkGBGA,"['South Africa', 'Eswatini', 'Botswana']",country
Nicaragua,CAoSLEFGMVFpcE5uTzh2QW83MnhSM01DMWlFT0U1cjhGUlFBT1RyWW5HNjRSaDI2,"['Honduras', 'Costa Rica', 'El Salvador']",country
Timor-Leste,CAoSLEFGMVFpcE9xbU51U1MtRk1VM3c4MWhWV1pteV9fQVUwblRhb1R2MXVUSGRo,"['Papua New Guinea', 'Indonesia', 'Australia']",country
Maldives,CAoSLEFGMVFpcFB1bm14UDBBeUJBMFBoSU1vTHl2LW9kLXE2NGxyMnNjVW10d1Vo,"['Sri Lanka', 'India', 'Mauritius']",country
Laos,YlUvnaPWAoEsGLIZnnLwnw,"['Thailand', 'Cambodia', 'Vietnam']",country
China,xfu_MajV-POIrbSqd9vlCQ,"['Kazakhstan', 'India', 'Russia']",country
Moldova,CAoSLEFGMVFpcE1mZUwzSkhaMjVFWENuN3VUQW5MUFBTNF9QY1NDZWk3WS1BRDFw,"['Ukraine', 'Romania', 'Belarus']",country
Spain,-ckGClY5bhz9jsYalCbd-w,"['France', 'Morocco', 'Portugal']",country
Rwanda,JSjz3-bEk7zwtn9Eba5zhw,"['Uganda', 'Tanzania', 'Burundi']",country
Laos,WY-WVGQuI5VK2kwb9htvNw,"['Thailand', 'Vietnam', 'Cambodia']",country
Russia,Y1MWDjN0V0MgsdQ-iKsnHQ,"['Kazakhstan', 'Mongolia', 'China']",country
Oman,nrteK6ijkmHsSCUIbDiHZA,"['UAE', 'Saudi Arabia', 'Yemen']",country
Serbia,YO5frOPCz3M5u-GXtu1Yww,"['Hungary', 'Romania', 'Bulgaria']",country
Iraq,JDr3cW1ER8LRwVs1aEXyTw,"['Iran', 'Turkey', 'Syria']",country
US Virgin Islands,0KhS11biNyZUlf91PdruMA,"['Dominican Republic', 'Puerto Rico', 'British Virgin Islands']",country
Russia,f4LxWu4pm4qRg893S1mtpA,"['China', 'Mongolia', 'Kazakhstan']",country
Vatican,CAoSLEFGMVFpcFBKMjQtdlJybEd4SkFqYkhUVjJsZzB5Q25xS3d3eTFCRlQ3Vl80,"['San Marino', 'Italy', 'Monaco']",country
Palestine,iNXVx1VpuM4SNgEKya-79g,"['Jordan', 'Egypt', 'Israel']",country
Belgium,CAoSLEFGMVFpcE9Ob3UxVFpYZ0RIclQ3c2tyMDlJVHBLMDBfdnBFcXdNYkotQ0E0,"['Netherlands', 'France', 'Germany']",country
South Africa,76P-j2r76EpNPh7RHea14w,"['Namibia', 'Botswana', 'Zimbabwe']",country
Greenland,e4eQUulwYAwPl2wlW8ZdbA,"['Iceland', 'Canada', 'Norway']",country
Iraq,OcIQ6oW8gNJsxt6bJnLVhg,"['Turkey', 'Iran', 'Syria']",country
Montenegro,EFKrksOPOtj7OfFwv95kTw,"['Serbia', 'Bosnia and Herzegovina', 'Albania']",country
Swaziland,ukZHXt_s06p5LLsvsdbBng,"['Peru', 'Jordan', 'Czech Republic']",country
American Samoa,Qj2xI9c7SgQn28CUlxj_CQ,"['Samoa', 'Fiji', 'Tonga']",country
UAE,Lk5XMX0JHIsPRmKjNmb87Q,"['Saudi Arabia', 'Qatar', 'Oman']",country
Vatican,CAoSLEFGMVFpcE85Y0tHOXBPMWdMQWhmX0lJYzdWTHZFSEx1RENNZTdRcjR1WGV3,"['Italy', 'San Marino', 'Monaco']",country
Palestine,LmlFmm6P55uwKQQRbryg5w,"['Egypt', 'Israel', 'Jordan']",country
Palestine,Z6aJRnfV0hzVEnWDFL0F5A,"['Israel', 'Jordan', 'Egypt']",country
Czech Republic,EhSEaIhUiNKCLNcvbFVjNA,"['Austria', 'Slovakia', 'Germany']",country
Chile,ecuOJbd11JWDLNqIT2WNEA,"['Argentina', 'Bolivia', 'Peru']",country
Botswana,uzGk1sp7-h2detj1Kl6olg,"['South Africa', 'Namibia', 'Zimbabwe']",country
Vatican,JcElisFwmf_szLwEMY_6fQ,"['Italy', 'San Marino', 'Monaco']",country
Palestine,Z1jA7GUh2RObLwCorniVOA,"['Jordan', 'Egypt', 'Israel']",country
Liberia,CAoSLEFGMVFpcE9pajRORVJXcUdMajN2cUhiemlmZXZ4NUZ6Rk43Q2REUUhYc3NV,"['Guinea', 'Sierra Leone', ""Côte d'Ivoire""]",country
Senegal,l4S3lLIKOA-GFiN99hC1KQ,"['Mauritania', 'Guinea', 'Mali']",country
Uruguay,POPASLbIWnblrI84PU1d2A,"['Argentina', 'Brazil', 'Paraguay']",country
Austria,edno6TmAkg5zTsuOLnxGmQ,"['Germany', 'Czech Republic', 'Slovakia']",country
Latvia,nhk1mB-dpzDUGUFEzylvOQ,"['Russia', 'Estonia', 'Lithuania']",country
Czech Republic,5K5LvYoNtmbG9fS_-EV4Gg,"['Germany', 'Austria', 'Slovakia']",country
Ukraine,3VJphfjA39938wRVZNjs-g,"['Russia', 'Belarus', 'Poland']",country
Serbia,-9q5OeaYjT-m26yxEufSbA,"['Bulgaria', 'Romania', 'Hungary']",country
Indonesia,3uPp5Mwec-sb3PZjlsChEw,"['Malaysia', 'Australia', 'Papua New Guinea']",country
Palestine,rF_y-mAYZdVTEc2JoAtBAA,"['Egypt', 'Israel', 'Jordan']",country
Palestine,LWZdWEVpl6y1IQlpGlpUYQ,"['Israel', 'Jordan', 'Egypt']",country
Croatia,H6AWa8ncoJEPwAUi9kEC8Q,"['Slovenia', 'Bosnia and Herzegovina', 'Hungary']",country
Bahrain,CAoSLEFGMVFpcE16SDJtdFcxQm9WTTZFajFqeTRJMWhPc3ZVcmRRV19JQ3dDRmhJ,"['Saudi Arabia', 'Qatar', 'UAE']",country
Syria,CAoSLEFGMVFpcE9WS2JfcTRHOFVrSXRJb1FQNVgyZWM1NS1vVFgyal82Zmp4cFZw,"['Turkey', 'Jordan', 'Iraq']",country
Palestine,nBc0AHLoEd4m70N7aXm-0w,"['Egypt', 'Israel', 'Jordan']",country
Lithuania,owPuyQEHdrJYsYvR1QMg9Q,"['Latvia', 'Belarus', 'Poland']",country
Burkina Faso,CAoSLEFGMVFpcE0xdkNuTEhUTzYyUzFCMEJpUVZqWWhsazByS1hEU0pUbkhwSUMt,"['Ghana', 'Mali', 'Niger']",country
South Sudan,CAoSLEFGMVFpcE5uSG9LZ3hiQ1NPS0ZOeHdTTDZ0Zy1hTTlCRklkbElSamp5UzZO,"['Sudan', 'Ethiopia', 'Kenya']",country
Palestine,54WmnBm51vJwe_j_1eqziw,"['Israel', 'Jordan', 'Egypt']",country
China,CAoSLEFGMVFpcE1lYWVxd3R3TmFTemFIVnRlMTZiYWszOEpmYVliUmdZLWRqTHg5,"['Russia', 'India', 'Kazakhstan']",country
Kenya,vgu5Gm29dHsem_fwqqF9tA,"['Ethiopia', 'Somalia', 'Tanzania']",country
Denmark,FDFUee_hAsoem52KsNsjuw,"['Germany', 'Sweden', 'Norway']",country
Israel,f3HVhklOPPTJ5x1eWZ-Cfw,"['Lebanon', 'Palestine', 'Jordan']",country
Palestine,h--ET-HaFuvTsONrumuolQ,"['Israel', 'Jordan', 'Egypt']",country
Palestine,ZTcYy2oG0_v-BGyYVJewpQ,"['Israel', 'Jordan', 'Egypt']",country
Palestine,5CdrKPN39KzWbKhDbDaF_g,"['Israel', 'Jordan', 'Egypt']",country
Palestine,zcHRB1saE1YeyJGlx4akUw,"['Israel', 'Jordan', 'Egypt']",country
Syria,CAoSLEFGMVFpcE9GdmY1ZVBBQ3NVRkNQUm4zUV9QQWhSeW52TTVEZ0l3NEEyVmRE,"['Jordan', 'Iraq', 'Turkey']",country
Haiti,CAoSLEFGMVFpcE9MT281ckdXY3M3LVJxOHhtVG9qT3hFb1RTNk9wUVdTU0xrT2Ro,"['Dominican Republic', 'Cuba', 'Jamaica']",country
Palestine,6O6NGbttxpxVpmJOIio-8g,"['Israel', 'Jordan', 'Egypt']",country
Palestine,eFV6ACRXXtchUfT7MHcA-w,"['Jordan', 'Egypt', 'Israel']",country
Colombia,VXj6S20sZLHCAQV47hFtzA,"['Brazil', 'Peru', 'Venezuela']",country
Denmark,a-fA-OZYDwzLtW2hbZwgtA,"['Germany', 'Sweden', 'Norway']",country
Laos,nrdY53LomJInTeF8ypvKQg,"['Vietnam', 'Thailand', 'Cambodia']",country
Albania,gH1zh5GmI532XlsBHyYrxg,"['North Macedonia', 'Kosovo', 'Montenegro']",country
Argentina,jb_myky19Ilr6YNaP4Byvw,"['Paraguay', 'Chile', 'Bolivia']",country
Palestine,W8Ccg7iLfvMjaBOfua0t8A,"['Jordan', 'Egypt', 'Israel']",country
Senegal,lB7R0Tcsjky1bzK1RXzCDQ,"['Mauritania', 'Guinea', 'Mali']",country
Canada,6Gz_9umAxVUkuawT9-c8SQ,"['Russia', 'Greenland', 'USA']",country
Palestine,P_ylA--P3HEnsGnP9InwSw,"['Egypt', 'Israel', 'Jordan']",country
Turkmenistan,CAoSLEFGMVFpcE8xUzl5bkd0amhINXlhUTRJMFBqZHBkdVo4Y1VDOXBpM0o4bHRH,"['Afghanistan', 'Uzbekistan', 'Iran']",country
Burundi,CAoSLEFGMVFpcE5KMXhPQkJMSzcxNEpUdTc2dDBpemZDRy1oOXlnX1NNSUx3eldV,"['Rwanda', 'Tanzania', 'Democratic Republic of Congo']",country
Iraq,CAoSLEFGMVFpcE5yUWFQbi1jV3dZNHlZODM4c1FCNEtzSlFMS2V0X013TXFMNTJ5,"['Syria', 'Iran', 'Turkey']",country
Bahrain,CAoSLEFGMVFpcE5faXRsZ1BVaVJ4QlhMY0xYaVZOaWVja3E3VGlPc3BsZ3phX0t0,"['Saudi Arabia', 'UAE', 'Qatar']",country
Palestine,qhJNYtgpWyDfBBWA_f_hxQ,"['Israel', 'Egypt', 'Jordan']",country
san marino,iBiA8qpj9_JeYcFQT7CasA,"['Paraguay', 'Italy', 'Kyrgyzstan']",country
Sri Lanka,v2yZCt31KWddSw8WfJwFYA,"['India', 'Bangladesh', 'Maldives']",country
Slovakia,gs6Cos6hGuNqC1KlL6Cx9w,"['Czech Republic', 'Austria', 'Hungary']",country
Palestine,h0FRyCFzNJCOSrFd2oFKmw,"['Israel', 'Jordan', 'Egypt']",country
Palestine,ql5DrE0jzc3VoNIMbH_T-Q,"['Israel', 'Jordan', 'Egypt']",country
Gabon,CAoSLEFGMVFpcE1XUDhDcnVTT3BrMW9PRzMwRjA4RlNlREJCMTAwMzdncy1NTmV3,"['Equatorial Guinea', 'Cameroon', 'Republic of Congo']",country
Indonesia,KCVQdO-4BERew6__VLN8aw,"['Malaysia', 'Papua New Guinea', 'Australia']",country
Bangladesh,hNkw5KqBsHZStS-4s3otlQ,"['Nepal', 'India', 'Myanmar']",country
South Africa,OvZGKQ7_fr9vMe-nppjP9Q,"['Namibia', 'Botswana', 'Zimbabwe']",country
Bhutan,bBZmXmmLtFK8czszxKrUGw,"['Nepal', 'China', 'India']",country
Peru,4kmo05Ki_TE78Kyv8jjhsA,"['Brazil', 'Colombia', 'Ecuador']",country
Belgium,1vppioa1vvj7SWDFNcXS-Q,"['Netherlands', 'Germany', 'France']",country
Austria,TNcUWj8t9Uf0FmdWsp3mWQ,"['Germany', 'Slovakia', 'Czech Republic']",country
Swaziland,S073exLYc2y2egczoP4ShA,"['Mozambique', 'South Africa']",country
Lithuania,CvgKD69NgX6_IopEjzxnDA,"['Latvia', 'Poland', 'Belarus']",country
Mexico,9VQqLiKqv6HgEs4N2J6GxQ,"['USA', 'Guatemala', 'Belize']",country
Albania,AKm--3msKZ88sAfKW5YTyg,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Greece,fX8ior42LKA7Sbo1NS8R1w,"['Bulgaria', 'Albania', 'North Macedonia']",country
Lesotho,me9NopFZr_09Je76U89i8Q,"['Eswatini', 'Botswana', 'South Africa']",country
Sri Lanka,TZVIFwJlbWwxpAgg355Hkg,"['India', 'Maldives', 'Bangladesh']",country
Slovakia,dmEhItowmwM3fP_RYxsLQg,"['Austria', 'Czech Republic', 'Hungary']",country
Austria,vYMwwksrApanO0huJLCD9w,"['Germany', 'Czech Republic', 'Slovakia']",country
Ireland,ZPdgk1TOHD7bUGYDQZoUXA,"['France', 'Iceland', 'United Kingdom']",country
Senegal,o3egE8SkC6JxHHxKqYnDBw,"['Mauritania', 'Mali', 'Guinea']",country
Kyrgyzstan,HmzeOWXWvG-BNDaYPfU7bQ,"['Tajikistan', 'Kazakhstan', 'China']",country
China,EtoGIw1oLWxcRtSrr-ozoQ,"['India', 'Kazakhstan', 'Russia']",country
Sri Lanka,sYWX9EGIOdzfKy6t1f7PQw,"['Bangladesh', 'India', 'Maldives']",country
Peru,mrBSY7Xk8XdG7GsEr9doMg,"['Brazil', 'Ecuador', 'Colombia']",country
Belgium,rh43f_ukmy9nx8AGPM_Zew,"['Netherlands', 'Germany', 'France']",country
Guatemala,Y91spswrVMd7NJA343XEcA,"['Mexico', 'Belize', 'El Salvador']",country
Slovakia,c4FIoVUpRYv-0-Ad35iiFA,"['Czech Republic', 'Austria', 'Hungary']",country
China,VW8GjX0fixneV-Qpggm4_Q,"['Kazakhstan', 'Russia', 'India']",country
Israel,qaxx9_M3zUCHSn7Eq53xpQ,"['Jordan', 'Lebanon', 'Palestine']",country
Luxembourg,vMc0KsTu07wE5WCOnCY_9A,"['Belgium', 'France', 'Germany']",country
Kenya,Bq6fe7ys4DQ72MkqMY6O2w,"['Ethiopia', 'Somalia', 'Tanzania']",country
Palestine,Q6dIj0qHkHCEhxluqrzgLA,"['Israel', 'Jordan', 'Egypt']",country
Senegal,UsUEkxFkBUjHNjt_bLDK9g,"['Mali', 'Guinea', 'Mauritania']",country
South Korea,S0kw-aQqU95o-kSUjElbpA,"['North Korea', 'China', 'Japan']",country
France,48f3OW4Z3CKKix9OJ68Ytg,"['Luxembourg', 'Spain', 'Belgium']",country
Estonia,RZJKLC2GKq0HpyMRMEeR5Q,"['Latvia', 'Finland', 'Russia']",country
Bangladesh,LD7e4pCzdM60kulgH79QcA,"['Myanmar', 'Nepal', 'India']",country
Senegal,TOUKu-kZdh1CQx8Q6-Vf9w,"['Guinea', 'Mali', 'Mauritania']",country
Romania,3sjf0UqcG5WaMq8DSuNKBw,"['Serbia', 'Bulgaria', 'Hungary']",country
Sri Lanka,SLUL7lNfwRw1PzKylb598A,"['India', 'Maldives', 'Bangladesh']",country
Honduras,CAoSLEFGMVFpcFBHaHUyX0xmNlc4eWVMcHlvdU1RQnlBSjVxV1dBYzJrYm9PV1VC,"['Guatemala', 'Nicaragua', 'El Salvador']",country
Poland,CAoSLEFGMVFpcE9IZWZ0WG9qWTdpZkRCbWRQYXNhXzFZZmhSd0VWZHBtQW1BLUlf,"['Czech Republic', 'Slovakia', 'Germany']",country
Senegal,ZUebKN0j-ru-Tb5DE2Vtjg,"['Mali', 'Guinea', 'Mauritania']",country
Colombia,wugWVi3o71WC9Dw7s8NPBA,"['Venezuela', 'Brazil', 'Peru']",country
Colombia,6Gpsim1ZWMKlv6-cNCxVeQ,"['Venezuela', 'Brazil', 'Peru']",country
Gambia,CAoSLEFGMVFpcE1oRnM1cHZUWExBSFFXSS1US3BWYXRSbDVQWDRWQ2k1X2NGeEx1,"['Senegal', 'Guinea-Bissau', 'Mali']",country
Kenya,0CNMTioi9Jigzafbi1iArw,"['Tanzania', 'Ethiopia', 'Somalia']",country
Kyrgyzstan,3UXR4cCS5wIqbwcl4Qs22w,"['Kazakhstan', 'China', 'Tajikistan']",country
Afghanistan,CAoSLEFGMVFpcFBubnczY1c4ek9BbnlKZnhTMThycVBJVjc0S1hNbzZBb3Qyc2sy,"['Pakistan', 'Tajikistan', 'Iran']",country
Sweden,i2nA8UUt-dLOBuVZY5bORw,"['Norway', 'Finland', 'Denmark']",country
Senegal,ahuujiWY0_TMfGwsHLhIXA,"['Mauritania', 'Mali', 'Guinea']",country
Bahrain,CAoSLEFGMVFpcE5na0J3MENvNVI4OHZWQjlNQzBoS2tFdDFuNk5MdDNZNXI4R2gz,"['Saudi Arabia', 'Qatar', 'UAE']",country
Canada,mZRNmjXUYzqR1cPzz0H0jg,"['Russia', 'Greenland', 'USA']",country
Senegal,2YJtxlxmfpWfwqMdMNmyhg,"['Mauritania', 'Guinea', 'Mali']",country
Montenegro,K2XOpyINVL72OeaP09ZuuQ,"['Albania', 'Bosnia and Herzegovina', 'Serbia']",country
Palestine,-4vHkUb0OWsFCy3jp6VXLQ,"['Egypt', 'Israel', 'Jordan']",country
Colombia,ho4GWORK-E0a-tsrFRvf5g,"['Brazil', 'Peru', 'Venezuela']",country
Poland,fFkyebg8Xr1CUaAfFZNlyQ,"['Czech Republic', 'Slovakia', 'Germany']",country
Poland,DMlJ8WGgkaO5DO5U4Vr7XQ,"['Germany', 'Czech Republic', 'Slovakia']",country
Kenya,WCxkdtnQZBmbGoi8mh_kAw,"['Tanzania', 'Ethiopia', 'Somalia']",country
Venezuela,CAoSLEFGMVFpcE96ZlBaLXJFclkybWNDdV9ITjNxdXpjbkx6ZDZTanphZUNQLXY4,"['Colombia', 'Brazil', 'Guyana']",country
Mongolia,QUF0i6c2ExkjRFrBfOZ0kA,"['Kazakhstan', 'Russia', 'China']",country
Botswana,5DfCK3PnXzDAInSBRsJi_g,"['South Africa', 'Namibia', 'Zimbabwe']",country
Belgium,HNFNW3GmGA_7LTIQ8VcX0A,"['Netherlands', 'France', 'Germany']",country
Serbia,KQrMRqlBLg0-Igeb6Cl4_Q,"['Bulgaria', 'Hungary', 'Romania']",country
Norway,Lb2DguwL5UkeMHFSRGGA0A,"['Sweden', 'Russia', 'Finland']",country
Kenya,PdnCwc8T-uChjyaX87joVw,"['Ethiopia', 'Somalia', 'Tanzania']",country
Canada,KEYSZp9ls-ltdeI6rVQfFQ,"['USA', 'Greenland', 'Russia']",country
Burundi,CAoSLEFGMVFpcE5xQU1fMC0yTUg1VHdxVDRRQzBaM0w1ZVNlUHJ4dUlTNWhRejlR,"['Rwanda', 'Democratic Republic of Congo', 'Tanzania']",country
Iraq,CAoSLEFGMVFpcE4tOERCWmE1RGxhblRTQldlS0o1UVRVS2dOZTI0bjJ3eFM2RUNE,"['Iran', 'Turkey', 'Syria']",country
Austria,PkwHcXxjPQRIx1KPngIzIQ,"['Czech Republic', 'Germany', 'Slovakia']",country
Belgium,CAoSLEFGMVFpcE84MTFlSmJwZTlodjJaUHZkNjNLV1JmSEVmRUM0a285S2ZMMF9w,"['France', 'Netherlands', 'Germany']",country
El Salvador,CAoSLEFGMVFpcE5XYmEyVGJLZnIyclUxc1NmQzB3NERheVNUUFlxbjRGT2w0TGxt,"['Nicaragua', 'Guatemala', 'Honduras']",country
Austria,upJI0wD-yeVtuIbmiJ-StA,"['Czech Republic', 'Slovakia', 'Germany']",country
China,Zgd-aeWrHZEE_AvDKqP6mw,"['Russia', 'India', 'Kazakhstan']",country
Mexico,TaxaTz8fBLCWPus6rg5riw,"['Belize', 'USA', 'Guatemala']",country
Albania,GDhCk9PvGnhK9ZLzkuBKQA,"['Kosovo', 'Montenegro', 'North Macedonia']",country
Uruguay,w4OTRBsHSFV_5f4D9qpcDw,"['Paraguay', 'Argentina', 'Brazil']",country
Norway,3CoBenGYp4EkqxNKR67W6A,"['Sweden', 'Russia', 'Finland']",country
Laos,4araM4LfVJTVQ-0nybniGQ,"['Vietnam', 'Thailand', 'Cambodia']",country
Sri Lanka,HZ0YKQTIvZNlIBzH31Md9A,"['Maldives', 'India', 'Bangladesh']",country
Austria,CgSER63sqo6LC-JAmR6vFw,"['Germany', 'Czech Republic', 'Slovakia']",country
Brazil,t0aXkKrdeERMSwmZykHSfw,"['Argentina', 'Peru', 'Bolivia']",country
Bolivia,pI_7fmWL2THj_fLCL8O4Mg,"['Chile', 'Brazil', 'Peru']",country
Uruguay,VEgvSzmMIghVf0TYimEbIg,"['Argentina', 'Brazil', 'Paraguay']",country
Brazil,OnzKjxO8K7iAGjemtdsg6A,"['Bolivia', 'Argentina', 'Peru']",country
Laos,Lpq2BwCVHN88rJzDLsNPww,"['Thailand', 'Vietnam', 'Cambodia']",country
Estonia,FJPF3ckS_7xr85jxpi6lCA,"['Finland', 'Russia', 'Latvia']",country
Sweden,pUnjp96-Hhmlu5ydy8okVw,"['Finland', 'Denmark', 'Norway']",country
Uruguay,ot1UMdh9eR7gLIh6JA24Zg,"['Argentina', 'Brazil', 'Paraguay']",country
Indonesia,uOfDBe3Am5BaowOk1rM61g,"['Malaysia', 'Papua New Guinea', 'Australia']",country
Indonesia,7KOTtE9RcCRvJzge9Hf9HA,"['Australia', 'Malaysia', 'Papua New Guinea']",country
Ecuador,8bb1FPahnQXaP86Rp8Eg3w,"['Brazil', 'Peru', 'Colombia']",country
Sweden,GCfvKsXTozX3AfcxJmPFIg,"['Finland', 'Norway', 'Denmark']",country
Laos,AZzuaoMvu-Au9J04gGeQBA,"['Thailand', 'Vietnam', 'Cambodia']",country
Mexico,r6MikV5xz3hJJtZqfjIs7Q,"['Guatemala', 'Belize', 'USA']",country
Mexico,sH1FEoLzSGh9njPholtMnw,"['USA', 'Guatemala', 'Belize']",country
China,E5_qL-WqBOU4tx4imS2K_w,"['Kazakhstan', 'India', 'Russia']",country
Uruguay,P_CYrFd4kLPoopkzmNW3aQ,"['Argentina', 'Brazil', 'Paraguay']",country
Libya,CAoSLEFGMVFpcE1RWVU3SzMtMW1NdEZ0Qk5WVjdSZmFUZ3VXZ0dTTWJCYXFid2xY,"['Egypt', 'Tunisia', 'Algeria']",country
Belgium,XtUUH--fzV7a_E3tTv7aOw,"['Netherlands', 'Germany', 'France']",country
Sweden,Q6objYB48zTWwk0pv9puNQ,"['Finland', 'Norway', 'Denmark']",country
Albania,IlbMwkecUdAE5Rs8X1r9QQ,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Argentina,SA3VqG2qAlkWoOmYaLzprg,"['Chile', 'Bolivia', 'Paraguay']",country
Lithuania,JD1Utkg3oaldT2GlEQlMOw,"['Latvia', 'Poland', 'Belarus']",country
Norway,cph6pWg-2sUuMZbaWqxVDA,"['Finland', 'Russia', 'Sweden']",country
Poland,ddOlTVs3MeH54ZV0e92G1Q,"['Germany', 'Czech Republic', 'Slovakia']",country
Luxembourg,Z7VbLtD6TbPgpqsp8_jNjQ,"['France', 'Germany', 'Belgium']",country
Ukraine,Je2b8URPj8916_zXfoPJYg,"['Russia', 'Belarus', 'Poland']",country
Peru,E4t2WlLifJo2JSQ3CZmgNw,"['Ecuador', 'Colombia', 'Brazil']",country
Colombia,QFfQU0sTocIOHVDRFj9m7Q,"['Brazil', 'Peru', 'Venezuela']",country
Russia,fC_RA41UUBA_bBacS_aLUQ,"['China', 'Mongolia', 'Kazakhstan']",country
Ecuador,eXNpkm56khRGHcqO2OsorA,"['Peru', 'Colombia', 'Brazil']",country
Luxembourg,Xx3twZKXfxC4Mse_kvJUHw,"['Belgium', 'France', 'Germany']",country
Croatia,IsyUdCTbcpFtcz7bXb_YtQ,"['Bosnia and Herzegovina', 'Slovenia', 'Hungary']",country
Canada,zmGZ6TVzcgcjJ0M5UgcB_w,"['Russia', 'Greenland', 'USA']",country
Lesotho,9th3kwhZ7WeNeppUdiRzgA,"['Eswatini', 'Botswana', 'South Africa']",country
Sweden,gWeE28MQDhWb_1VP0xJ-xA,"['Norway', 'Finland', 'Denmark']",country
Laos,3mRckB0PwwvCDoPKcTHDpw,"['Thailand', 'Cambodia', 'Vietnam']",country
Chile,Cw8uAXsJc5QfX1yl840E0Q,"['Peru', 'Bolivia', 'Argentina']",country
Ukraine,7wGlsMkwu_MiE6Vry4QFJQ,"['Russia', 'Poland', 'Belarus']",country
Chile,vHW87yMXil7xqNgoqMW_Dg,"['Argentina', 'Bolivia', 'Peru']",country
Oman,CAoSLEFGMVFpcE9yU3BKWVlBUnVycmx1b0VzTHVqMVBseXhqS2h1OFRBT0hFa05P,"['UAE', 'Saudi Arabia', 'Yemen']",country
Cambodia,eSQsnjXxgDZJLVPx20ZAGQ,"['Vietnam', 'Laos', 'Thailand']",country
Bulgaria,KXrr2pIIYhcQdNKOJmJkaA,"['Romania', 'Serbia', 'North Macedonia']",country
USA,CAoSLEFGMVFpcE5hOUJLa3BPeHZLRGxmOFJ1VndTc0xuYUtqdTR1SlNaZGo5aG9E,"['Canada', 'Russia', 'Mexico']",country
