BVID,key_clues,answer,answer_type,hint
BV19V411D7jC,"[""The presence of snow and bare deciduous trees."", ""A distinctive European-style building with multiple red, pointed roof."", ""A sign on a lamppost with the number 1054 is identified as a \""lamppost police reporting number\"".""]","Changji Hui Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, China",city,"[""This image is taken in China.""]"
BV19e411v7uQ,"[""The presence of a pagoda-style building."", ""The presence of residential high-rises."", ""The presence of an electricity pylon."", ""The presence of an elevated bridge with small bridge piers and railway protective fence, likely to be a railway, running parallel to the current road."", ""The presence of safety fence on the current road and the narrow outermost lane suggest that it might be an expressway rather than a national road."", ""Based on the tradition of south-facing balconies of the residential high-rises, it was determined that the parallel road and elevated bridge run east-to-west.""]","Yingshang county, Fuyang city, Anhui Province, China",county,"[""This image is taken in Anhui Province, China""]"
BV1hF411D7Mx,"[""A flat plain populated with numerous villages, intersected by a crisscrossing network of rivers."", ""The aircrafts winglet displays a stylized logo."", ""Alphanumeric characters \""B-1028\"" are marked on the aircrafts wing.""]","Nanjing City, Jiangsu Province, China",city,"[""The image is taken in China.""]"
BV1hN411s7U2,"[""The terrain features low, rolling hills intersected by a dense network of gullies and ravines."", ""The mountains display a color gradientdark and densely vegetated in the foreground, fading to lighter, yellowish tones in the distance."", ""A bridge sits adjacent to the town, both located to the left of the reservoir.""]","Song County, Luoyang City, Henan Province, China",county,"[""The image is taken in China.""]"
BV1hQ4y1w7C4,"[""The image features a wide river with a prominent semi-circular bend."", ""A large suspension bridge is under construction across the river, with an unfinished road on the near bank leading to the construction site."", ""A modern city is situated on the far right bank of the river."", ""The surrounding area near the river is relatively flat, with distant hills or mountains visible in the background.""]","Yidu City, Hubei Province, China",city,"[""The image is taken in China.""]"
BV1ht42157rg,"[""Lush green vegetation is present, including plants with long, broad leaves."", ""Multiple railway tracks run parallel to each other."", ""A bridge tower with a blue roof is visible."", ""The orientation of nearby buildings is opposite to the direction of the bridge under construction.""]","Liuzhou City, Guangxi Zhuang Autonomous Region, China",city,"[""The image is taken in Guangxi Zhuang Autonomous Region, China.""]"
BV1ir4y1R7LZ,"[""The visible terrain below features a large, irregularly shaped lake system, with undulating hills in the distance.""]","Wuhan City, Hubei Province, China",city,"[""The image is taken in China""]"
BV1k34y137CY,"[""Buses painted entirely green, with a characteristic white stripe pattern along their sides.""]","37.75, 115.70",latitude & longitude,"[""The image is taken in China"", ""The second character on the bus's license plate is the letter \""T\"".""]"
BV1nyM7zREKs,"[""Purple flowering plants are prominently arranged along the overpass."", ""A red bus connected to overhead power lines is visible."", ""The area features dense building coverage and a large elevated highway.""]","Dongfeng West Road, Liwan District, Guangzhou City, Guangdong Province, China",street,"[""The image is taken in China.""]"
BV1o44y1w7Ks,"[""A cross-sea bridge is visible in the scene."", ""The ground area in the image is densely built-up, with many high-rise buildings."", ""Hills are visible within the urban area.""]","Dalian City, Liaoning Province, China",city,"[""The image is taken in China.""]"
BV1Hh4y1q7gE,"[""The aerial image shows an arid landscape containing a large, rectangular reservoir, a town to the east, grid-like farmland, and distinct, heavily eroded hills."", ""The structure's technical name is \""调蓄水池\"" (regulating and storage pond)."", ""The terrain of eroded loess hills.""]","Lanzhou Zhongchuan International Airport, Lanzhou, Gansu, China",street,"[""The aerial image is not taken in Xinjiang"", ""The image is taken in China"", ""The image shows a reservoir.""]"
BV1Hw4m117uF,"[""The photo is taken from an elevated roadway of a major transportation hub, identified as a high-speed rail station due to the dense, modern cityscape."", ""The presence of palm trees."", ""The location is a large, developed city situated on very flat terrain with no mountains in sight."", ""The main avenue and surrounding buildings are inferred to follow a north-south orientation, a common practice in Chinese city planning.""]","Beihai City, Guangxi Province, China",city,"[""The user's IP address is located in Guangxi Province, China""]"
BV1JW4y1w7Pm,"[""The photo shows a wide river adjacent to a modern city with numerous high-rise residential buildings."", ""A distinctive set of two parallel bridges (one for road, one for rail) is a critical identifying feature."", ""The foreground is a public park or riverside area, identifiable by its gravel ground, herringbone-patterned bricks, and a large decorative yellow rock."", ""The south-facing orientation of the residential buildings indicates the photo was taken looking north across an east-west flowing section of the river.""]","Wanlou Scenic Area, Xiangtan City, Hunan Province, China",street,"[""The location is specified as being within Hunan Province, China""]"
BV1KW4y1D7ty,"[""The tree's features (reddish bark, gnarled trunk, needle-like leaves) and the distinct S-shaped river in the background were identified as the primary visual clues."", ""A Western girl is visible in the image.""]","Stafford, Humboldt County, California, USA",county,[]
BV1Kg4y1U7ax,"[""The bare trees indicate a northern city."", ""The green and white public bus livery."", ""The unique streetlight design, resembling an ancient Chinese roof."", ""A partially visible blue street sign indicates the road runs east-west, and its significant width (10 lanes total) classifies it as a major thoroughfare."", ""The photo is taken from underneath a pedestrian overpass.""]","Changle West Road, Xian City, Shannxi Province, China",street,"[""The image is taken from a \""New first-tier city\"" in China, which are Chengdu, Hangzhou, Chongqing, Wuhan, Suzhou, Xian, Nanjing, Changsha, Zhengzhou, Tianjin, Hefei, Qingdao, Dongguan, Ningbo, and Foshan.""]"
BV1Km421377r,"[""The view is from an airplane on final approach, indicating proximity to an airport, with prominent hills or mountains in the background."", ""A massive parking lot is identified, filled not with cars, but with thousands of identical tractor units (semi-trucks)."", ""A purpose-built vehicle test track with sweeping turns and an inclined section is located next to the parking lot.""]","Dongfeng Commercial Vehicle Company production base, Shiyan, Hubei, China",street,"[""The image is taken in China.""]"
BV1Kr421x78q,"[""The city has a regular, grid-like street pattern, indicating it is located on flat terrain."", ""The city's size is consistent with a smaller city or a county town, not a major metropolis."", ""A distinctive, bow-shaped road is visible to the north of the main city grid."", ""A large, faintly reflective area north of the city is identified as a vast expanse of agricultural greenhouses (polytunnels).""]","Changle County, Shandong Province, China",county,"[""The photo was taken on a flight from Qingdao to Chongqing""]"
BV1Lr421M7jm,"[""The scene features four distinct bridges arranged in two parallel pairs crossing a large body of water."", ""The foreground pair consists of a large white suspension bridge and a parallel railway bridge."", ""A second pair of bridges is visible in the distance, one of which is a red arch bridge."", ""The landscape consists of a large reservoir surrounded by mountains, with adjacent flat plains used for farming."", ""The villages feature a uniform architectural style of houses with sloped, red or orange tiled roofs.""]","Guanting Reservoir Grand Bridge, Hebei Province, China",street,"[""The image is taken in China.""]"
BV1au411s7r6,"[""The distinctive, rounded hills in the background, similar to Karst scenery ."", ""The buildings in the background are pretty low."", ""A large, multi-arched bridge is visible spanning a wide body of water.""]","Jiefang Bridge (Liberation Bridge), Qixing District, Guilin City, Guangxi, China",street,"[""The image is taken in China""]"
BV1au4y1K7vP,"[""Vehicles are driving on the right side of the road."", ""The landscape is arid, flat, and semi-desert with sparse vegetation."", ""The vehicles have yellow license plates with black characters and a blue strip on the left."", ""The road is a modern, multi-lane highway.""]",Israel,country,"[""The image is taken in one of the following image: A. Spain, B. Israel C. Chile D. Australia""]"
BV1b34y137iG,"[""A large, terraced open-pit mine carved into a mountain."", ""Key surrounding features were noted: an adjacent city, a specific highway interchange at the base of the mountain, and a green sports field.""]","26.611, 101.763",latitude & longitude,"[""The imaage is taken in China.""]"
BV1bJ4m1g7JA,"[""The location is a large, sprawling coastal city."", ""The city's geography is defined by a highly irregular coastline, featuring a large bay separating urban areas on peninsulas."", ""Three small, distinct islands are located in the body of water between the landmasses.""]","Dalian City, Liaoning, China",city,"[""this image is likely taken in China""]"
BV1cN4y1Q79Y,"[""The image is an aerial night photograph of a large city divided by a major body of water."", ""Multiple bridges are visible, connecting the different landmasses across the water."", ""A prominent skyscraper with a red-lit top is a key landmark in the foreground.""]","Xiamen City, Fujian, China",city,"[""The image is taken in China.""]"
BV1cc411F7nq,"[""A prominent, large, rectangular ancient city wall is visible at the city's core."", ""A river runs along the eastern side of the city wall, with a lake located further to the east.""]","Datong City, Shanxi, China",city,"[""This picture is likely taken at a southeast-to-northwest flight path in China""]"
BV1ch4y1w7q7,"[""The photo is an aerial shot from a low-altitude, turning airplane."", ""The logo on the winglet is identified as Shanghai Airlines."", ""The visible geography of a river flowing into the sea shows that the location is a coastal city.""]","Yintan Avenue, Yinhai District, Beihai City, Guangxi, China",street,"[""The picture is likely taken from a location near an airport"", ""the picture is likely taken in Guangxi, China""]"
BV1cm4y1U7oi,"[""Distinctive residential buildings with small, pointed pagoda-style structures on their rooftops."", ""A building with a large dome on its roof is spotted in the distance."", ""A specific multi-tiered design of the power pylons is in the image.""]","31.8596, 120.5746",latitude & longitude,"[""The picture is taken from Zhangjiagang, Jiangsu, China""]"
BV1dG411o75U,"[""The traffic is on the left side of the road."", ""The sun's position is in the northern part of the sky."", ""The truck has a \""cab-over-engine\"" design."", ""The picture shows the flat, arid, savanna-like landscape."", ""The solid yellow line marks the outer edge of the road.""]",South Africa,country,"[""The image is taken in one of the following countries: A: Brazil, B: USA, C: Australia, D: South Africa.""]"
BV1dP411k7PS,"[""The picture shows Moso bamboo."", ""A red ribbon on the tree with the Chinese title for the Lotus Sutra (\""大乘妙法莲华\"")."", ""The temple is located adjacent to an ancient stone city wall."", ""The city wall borders a large body of water."", ""A modern city skyline and a distant mountain range are visible from the temple.""]","Jiming Temple, Xuanwu District, Nanjing City, Jiangsu, China",street,"[""The image is taken in China.""]"
BV11M4y117fh,"[""A green taxi with a white roof is identified as a primary clue."", ""A specialized truck, identified as a waste transport vehicle, is observed in the background."", ""The truck is positioned in a trough, which is recognized as a wheel washing station common at landfills or construction sites."", ""The background mountain and trees are flourishing, making this place rural."", ""The road is wet, and the security booth is grimy.""]","West New Territories (WENT) Landfill entrance, Hong Kong, China",street,"[""This image is taken in China""]"
BV11u41137L8,"[""The taxi's distinct two-tone color scheme (blue top, silver bottom) is unique."", ""A partially obscured blue street sign with white text suggests an east-west road, likely with a three-character name, based on Chinese road sign conventions."", ""A blue-tiled building on the northwest corner and a taller red and grey building on the northeast corner."", ""The road layout is a four-way intersection with a service lane.""]","Tianshan Road, Yining City, Xinjiang, China",street,"[""The image is taken in China""]"
BV12u4y137eE,"[""The urban area is relatively small, suggesting a county-level city surrounded by farmland."", ""The city has a regular grid layout with straight roads."", ""A prominent, square-shaped ancient walled city with a moat is visible in the center.""]","Daming County, Hebei, China",county,"[""This place is near the Yellow River.""]"
BV12y4y1w7eP,"[""The city is large and built on flat terrain (a plain)."", ""The city is located next to a large body of water with a gently curving shoreline."", ""A prominent road runs parallel to the coastline.""]","Beihai City, Guangxi, China",city,"[""The image is taken in China""]"
BV13r4y197TT,"[""The initial analysis identified a complex, multi-layered urban interchange, three distinctive and identical high-rise residential buildings, and dark-colored traffic light poles with yellow reflective tape."", ""A stone bollard with a red band in the corner of the photo is a unique clue.""]","Jinqin Road, Gaoxing District, Zhuhai, Guangdong, China",street,"[""The image is taken in China.""]"
BV14K411b7fF,"[""The image shows a city with a network of large bodies of water (rivers or an estuary) crossed by numerous bridges."", ""The terrain includes hills or small mountains, confirmed by the sight of a road disappearing into a tunnel."", ""One bridge in the distance is exceptionally long, suggesting a multi-kilometer-wide crossing over a major estuary or bay."", ""The vast expanse of city lights indicates a large, densely populated, and highly developed metropolis.""]","Zhuhai, Guangdong, China",city,"[""The image is taken in China.""]"
BV14N4y14717,"[""There are terraced fields and reddish-brown soil."", ""A unique combination of infrastructure is identified: a major winding highway, an adjacent service area, and numerous wind turbines along the hill ridges."", ""A highway tunnel next to the village.""]","Xiaohaide Village, Reshui County, Xuanwei City, Yunnan Province, China",street,"[""The image is taken in China.""]"
BV15X4y1r7VM,"[""The tail livery of an aircraft in the second photo was identified as belonging to Asiana Airlines, an international carrier.""]","Ningbo Lishe International Airport, Ningbo, China",street,"[""The takeoff runway was identified as 13-31."", ""The image is taken in China.""]"
BV15v4y1E7ux,"[""A person wearing a heavy puffer jacket."", ""The restored characters on the scooter's license plate identify the city as Beijing."", ""An airplane at low altitude with its landing gear down indicates the photo was taken near an airport's final approach path."", ""A south-facing solar panel and the airplane's south-to-north flight path determine the location is south of an airport.""]","Around Sunhe, Shunyi District, Beijing, China",street,"[""The image was taken at 18:39, April 2nd"", ""There is a bridge in front of the car."", ""The image is taken in China.""]"
BV16N4y1h7ps,"[""The presence of heavy snow and leafless deciduous trees indicates a winter scene in Northern China."", ""The enclosed bus station in the road's median, featuring blue railings and ticket turnstiles, is identified as a Bus Rapid Transit (BRT) system found in major cities."", ""Distinctive pagoda-topped residential buildings in the distance are used as a key landmark for orientation.""]","Tianleyuan Community BRT Bus Stop, Anli Road, Chaoyang District, Beijing, China",street,"[""The image is likely to have been taken in Beijing.""]"
